event_id,period_no,occ_year,occ_month,occ_day
1,1,1,1,1
2,1,1,1,1
3,1,1,1,1
4,1,1,1,1
5,1,1,1,1
6,2,2,1,1
7,3,3,1,1
8,3,3,1,1
9,4,4,1,1
10,5,5,1,1
11,5,5,1,1
12,5,5,1,1
13,5,5,1,1
14,6,6,1,1
15,6,6,1,1
16,6,6,1,1
17,6,6,1,1
18,6,6,1,1
19,7,7,1,1
20,7,7,1,1
21,8,8,1,1
22,8,8,1,1
23,9,9,1,1
24,9,9,1,1
25,9,9,1,1
26,10,10,1,1
27,11,11,1,1
28,11,11,1,1
29,11,11,1,1
30,12,12,1,1
31,12,12,1,1
32,13,13,1,1
33,13,13,1,1
34,13,13,1,1
35,14,14,1,1
36,14,14,1,1
37,15,15,1,1
38,16,16,1,1
39,16,16,1,1
40,17,17,1,1
41,17,17,1,1
42,17,17,1,1
43,18,18,1,1
44,18,18,1,1
45,19,19,1,1
46,19,19,1,1
47,19,19,1,1
48,20,20,1,1
49,20,20,1,1
50,21,21,1,1
51,21,21,1,1
52,21,21,1,1
53,21,21,1,1
54,21,21,1,1
55,22,22,1,1
56,22,22,1,1
57,22,22,1,1
58,22,22,1,1
59,23,23,1,1
60,23,23,1,1
61,24,24,1,1
62,24,24,1,1
63,24,24,1,1
64,24,24,1,1
65,24,24,1,1
66,24,24,1,1
67,24,24,1,1
68,25,25,1,1
69,25,25,1,1
70,25,25,1,1
71,25,25,1,1
72,25,25,1,1
73,25,25,1,1
74,26,26,1,1
75,26,26,1,1
76,26,26,1,1
77,26,26,1,1
78,26,26,1,1
79,27,27,1,1
80,27,27,1,1
81,28,28,1,1
82,28,28,1,1
83,28,28,1,1
84,28,28,1,1
85,28,28,1,1
86,29,29,1,1
87,29,29,1,1
88,30,30,1,1
89,30,30,1,1
90,30,30,1,1
91,30,30,1,1
92,31,31,1,1
93,31,31,1,1
94,31,31,1,1
95,32,32,1,1
96,32,32,1,1
97,32,32,1,1
98,32,32,1,1
99,33,33,1,1
100,33,33,1,1
101,33,33,1,1
102,33,33,1,1
103,34,34,1,1
104,34,34,1,1
105,34,34,1,1
106,34,34,1,1
107,34,34,1,1
108,35,35,1,1
109,36,36,1,1
110,37,37,1,1
111,38,38,1,1
112,38,38,1,1
113,38,38,1,1
114,39,39,1,1
115,39,39,1,1
116,40,40,1,1
117,40,40,1,1
118,40,40,1,1
119,41,41,1,1
120,41,41,1,1
121,42,42,1,1
122,42,42,1,1
123,42,42,1,1
124,42,42,1,1
125,42,42,1,1
126,42,42,1,1
127,42,42,1,1
128,42,42,1,1
129,43,43,1,1
130,43,43,1,1
131,44,44,1,1
132,45,45,1,1
133,45,45,1,1
134,46,46,1,1
135,46,46,1,1
136,46,46,1,1
137,46,46,1,1
138,47,47,1,1
139,47,47,1,1
140,48,48,1,1
141,48,48,1,1
142,48,48,1,1
143,48,48,1,1
144,49,49,1,1
145,49,49,1,1
146,49,49,1,1
147,50,50,1,1
148,50,50,1,1
149,51,51,1,1
150,52,52,1,1
151,53,53,1,1
152,53,53,1,1
153,53,53,1,1
154,53,53,1,1
155,54,54,1,1
156,54,54,1,1
157,54,54,1,1
158,54,54,1,1
159,55,55,1,1
160,55,55,1,1
161,55,55,1,1
162,55,55,1,1
163,56,56,1,1
164,56,56,1,1
165,56,56,1,1
166,57,57,1,1
167,57,57,1,1
168,57,57,1,1
169,57,57,1,1
170,57,57,1,1
171,58,58,1,1
172,58,58,1,1
173,58,58,1,1
174,58,58,1,1
175,58,58,1,1
176,59,59,1,1
177,59,59,1,1
178,60,60,1,1
179,61,61,1,1
180,61,61,1,1
181,61,61,1,1
182,61,61,1,1
183,61,61,1,1
184,61,61,1,1
185,61,61,1,1
186,61,61,1,1
187,62,62,1,1
188,63,63,1,1
189,63,63,1,1
190,63,63,1,1
191,64,64,1,1
192,64,64,1,1
193,64,64,1,1
194,65,65,1,1
195,66,66,1,1
196,66,66,1,1
197,67,67,1,1
198,68,68,1,1
199,69,69,1,1
200,69,69,1,1
201,69,69,1,1
202,69,69,1,1
203,70,70,1,1
204,70,70,1,1
205,71,71,1,1
206,71,71,1,1
207,72,72,1,1
208,72,72,1,1
209,72,72,1,1
210,72,72,1,1
211,72,72,1,1
212,72,72,1,1
213,73,73,1,1
214,73,73,1,1
215,73,73,1,1
216,73,73,1,1
217,73,73,1,1
218,74,74,1,1
219,74,74,1,1
220,74,74,1,1
221,74,74,1,1
222,75,75,1,1
223,75,75,1,1
224,75,75,1,1
225,75,75,1,1
226,76,76,1,1
227,76,76,1,1
228,77,77,1,1
229,78,78,1,1
230,78,78,1,1
231,78,78,1,1
232,78,78,1,1
233,79,79,1,1
234,79,79,1,1
235,79,79,1,1
236,79,79,1,1
237,79,79,1,1
238,80,80,1,1
239,80,80,1,1
240,80,80,1,1
241,80,80,1,1
242,81,81,1,1
243,81,81,1,1
244,83,83,1,1
245,83,83,1,1
246,83,83,1,1
247,83,83,1,1
248,83,83,1,1
249,83,83,1,1
250,83,83,1,1
251,84,84,1,1
252,84,84,1,1
253,84,84,1,1
254,84,84,1,1
255,85,85,1,1
256,85,85,1,1
257,86,86,1,1
258,87,87,1,1
259,87,87,1,1
260,87,87,1,1
261,87,87,1,1
262,88,88,1,1
263,88,88,1,1
264,88,88,1,1
265,88,88,1,1
266,89,89,1,1
267,89,89,1,1
268,89,89,1,1
269,90,90,1,1
270,90,90,1,1
271,91,91,1,1
272,91,91,1,1
273,91,91,1,1
274,92,92,1,1
275,92,92,1,1
276,92,92,1,1
277,92,92,1,1
278,92,92,1,1
279,92,92,1,1
280,92,92,1,1
281,93,93,1,1
282,93,93,1,1
283,93,93,1,1
284,93,93,1,1
285,93,93,1,1
286,94,94,1,1
287,94,94,1,1
288,95,95,1,1
289,96,96,1,1
290,97,97,1,1
291,97,97,1,1
292,97,97,1,1
293,98,98,1,1
294,99,99,1,1
295,99,99,1,1
296,99,99,1,1
297,100,100,1,1
298,101,101,1,1
299,101,101,1,1
300,101,101,1,1
301,102,102,1,1
302,104,104,1,1
303,104,104,1,1
304,105,105,1,1
305,105,105,1,1
306,105,105,1,1
307,105,105,1,1
308,105,105,1,1
309,105,105,1,1
310,105,105,1,1
311,106,106,1,1
312,106,106,1,1
313,106,106,1,1
314,106,106,1,1
315,106,106,1,1
316,107,107,1,1
317,108,108,1,1
318,108,108,1,1
319,108,108,1,1
320,108,108,1,1
321,109,109,1,1
322,109,109,1,1
323,109,109,1,1
324,110,110,1,1
325,110,110,1,1
326,110,110,1,1
327,111,111,1,1
328,111,111,1,1
329,112,112,1,1
330,112,112,1,1
331,112,112,1,1
332,113,113,1,1
333,113,113,1,1
334,113,113,1,1
335,113,113,1,1
336,113,113,1,1
337,113,113,1,1
338,114,114,1,1
339,115,115,1,1
340,115,115,1,1
341,117,117,1,1
342,117,117,1,1
343,117,117,1,1
344,117,117,1,1
345,117,117,1,1
346,118,118,1,1
347,118,118,1,1
348,118,118,1,1
349,118,118,1,1
350,119,119,1,1
351,120,120,1,1
352,120,120,1,1
353,120,120,1,1
354,120,120,1,1
355,121,121,1,1
356,121,121,1,1
357,121,121,1,1
358,122,122,1,1
359,122,122,1,1
360,123,123,1,1
361,123,123,1,1
362,124,124,1,1
363,124,124,1,1
364,124,124,1,1
365,124,124,1,1
366,125,125,1,1
367,125,125,1,1
368,126,126,1,1
369,127,127,1,1
370,127,127,1,1
371,127,127,1,1
372,127,127,1,1
373,128,128,1,1
374,128,128,1,1
375,128,128,1,1
376,129,129,1,1
377,129,129,1,1
378,129,129,1,1
379,130,130,1,1
380,130,130,1,1
381,131,131,1,1
382,131,131,1,1
383,131,131,1,1
384,131,131,1,1
385,132,132,1,1
386,133,133,1,1
387,133,133,1,1
388,133,133,1,1
389,134,134,1,1
390,134,134,1,1
391,134,134,1,1
392,134,134,1,1
393,134,134,1,1
394,134,134,1,1
395,136,136,1,1
396,136,136,1,1
397,136,136,1,1
398,137,137,1,1
399,137,137,1,1
400,137,137,1,1
401,137,137,1,1
402,138,138,1,1
403,138,138,1,1
404,138,138,1,1
405,138,138,1,1
406,139,139,1,1
407,139,139,1,1
408,140,140,1,1
409,140,140,1,1
410,141,141,1,1
411,141,141,1,1
412,141,141,1,1
413,142,142,1,1
414,143,143,1,1
415,143,143,1,1
416,143,143,1,1
417,143,143,1,1
418,144,144,1,1
419,144,144,1,1
420,144,144,1,1
421,144,144,1,1
422,144,144,1,1
423,145,145,1,1
424,145,145,1,1
425,145,145,1,1
426,146,146,1,1
427,146,146,1,1
428,146,146,1,1
429,147,147,1,1
430,147,147,1,1
431,148,148,1,1
432,148,148,1,1
433,148,148,1,1
434,148,148,1,1
435,148,148,1,1
436,148,148,1,1
437,149,149,1,1
438,149,149,1,1
439,149,149,1,1
440,150,150,1,1
441,150,150,1,1
442,151,151,1,1
443,152,152,1,1
444,152,152,1,1
445,152,152,1,1
446,152,152,1,1
447,153,153,1,1
448,153,153,1,1
449,153,153,1,1
450,153,153,1,1
451,153,153,1,1
452,154,154,1,1
453,155,155,1,1
454,155,155,1,1
455,156,156,1,1
456,156,156,1,1
457,156,156,1,1
458,156,156,1,1
459,157,157,1,1
460,158,158,1,1
461,158,158,1,1
462,158,158,1,1
463,158,158,1,1
464,158,158,1,1
465,158,158,1,1
466,158,158,1,1
467,158,158,1,1
468,159,159,1,1
469,159,159,1,1
470,159,159,1,1
471,160,160,1,1
472,160,160,1,1
473,160,160,1,1
474,160,160,1,1
475,161,161,1,1
476,161,161,1,1
477,162,162,1,1
478,162,162,1,1
479,163,163,1,1
480,163,163,1,1
481,164,164,1,1
482,164,164,1,1
483,164,164,1,1
484,164,164,1,1
485,165,165,1,1
486,166,166,1,1
487,166,166,1,1
488,166,166,1,1
489,166,166,1,1
490,167,167,1,1
491,167,167,1,1
492,167,167,1,1
493,167,167,1,1
494,167,167,1,1
495,167,167,1,1
496,168,168,1,1
497,168,168,1,1
498,168,168,1,1
499,168,168,1,1
500,168,168,1,1
501,168,168,1,1
502,168,168,1,1
503,169,169,1,1
504,169,169,1,1
505,169,169,1,1
506,170,170,1,1
507,170,170,1,1
508,170,170,1,1
509,171,171,1,1
510,171,171,1,1
511,173,173,1,1
512,173,173,1,1
513,173,173,1,1
514,174,174,1,1
515,174,174,1,1
516,175,175,1,1
517,175,175,1,1
518,176,176,1,1
519,177,177,1,1
520,178,178,1,1
521,178,178,1,1
522,178,178,1,1
523,179,179,1,1
524,179,179,1,1
525,180,180,1,1
526,180,180,1,1
527,181,181,1,1
528,182,182,1,1
529,183,183,1,1
530,183,183,1,1
531,184,184,1,1
532,184,184,1,1
533,185,185,1,1
534,185,185,1,1
535,185,185,1,1
536,185,185,1,1
537,185,185,1,1
538,186,186,1,1
539,187,187,1,1
540,187,187,1,1
541,188,188,1,1
542,188,188,1,1
543,189,189,1,1
544,190,190,1,1
545,190,190,1,1
546,190,190,1,1
547,190,190,1,1
548,191,191,1,1
549,191,191,1,1
550,192,192,1,1
551,193,193,1,1
552,193,193,1,1
553,193,193,1,1
554,193,193,1,1
555,194,194,1,1
556,194,194,1,1
557,194,194,1,1
558,194,194,1,1
559,194,194,1,1
560,194,194,1,1
561,194,194,1,1
562,195,195,1,1
563,196,196,1,1
564,196,196,1,1
565,198,198,1,1
566,198,198,1,1
567,198,198,1,1
568,198,198,1,1
569,199,199,1,1
570,199,199,1,1
571,199,199,1,1
572,200,200,1,1
573,200,200,1,1
574,201,201,1,1
575,201,201,1,1
576,201,201,1,1
577,201,201,1,1
578,201,201,1,1
579,201,201,1,1
580,201,201,1,1
581,201,201,1,1
582,201,201,1,1
583,202,202,1,1
584,202,202,1,1
585,202,202,1,1
586,203,203,1,1
587,204,204,1,1
588,204,204,1,1
589,204,204,1,1
590,204,204,1,1
591,204,204,1,1
592,205,205,1,1
593,205,205,1,1
594,205,205,1,1
595,206,206,1,1
596,207,207,1,1
597,207,207,1,1
598,207,207,1,1
599,207,207,1,1
600,208,208,1,1
601,208,208,1,1
602,209,209,1,1
603,210,210,1,1
604,210,210,1,1
605,211,211,1,1
606,211,211,1,1
607,211,211,1,1
608,212,212,1,1
609,212,212,1,1
610,213,213,1,1
611,213,213,1,1
612,213,213,1,1
613,215,215,1,1
614,215,215,1,1
615,216,216,1,1
616,216,216,1,1
617,217,217,1,1
618,218,218,1,1
619,218,218,1,1
620,218,218,1,1
621,218,218,1,1
622,218,218,1,1
623,219,219,1,1
624,219,219,1,1
625,219,219,1,1
626,220,220,1,1
627,220,220,1,1
628,220,220,1,1
629,220,220,1,1
630,220,220,1,1
631,220,220,1,1
632,221,221,1,1
633,222,222,1,1
634,222,222,1,1
635,222,222,1,1
636,222,222,1,1
637,223,223,1,1
638,223,223,1,1
639,223,223,1,1
640,224,224,1,1
641,224,224,1,1
642,224,224,1,1
643,224,224,1,1
644,225,225,1,1
645,225,225,1,1
646,225,225,1,1
647,226,226,1,1
648,226,226,1,1
649,226,226,1,1
650,226,226,1,1
651,227,227,1,1
652,227,227,1,1
653,227,227,1,1
654,227,227,1,1
655,228,228,1,1
656,228,228,1,1
657,228,228,1,1
658,229,229,1,1
659,229,229,1,1
660,229,229,1,1
661,229,229,1,1
662,229,229,1,1
663,230,230,1,1
664,230,230,1,1
665,231,231,1,1
666,231,231,1,1
667,231,231,1,1
668,232,232,1,1
669,232,232,1,1
670,232,232,1,1
671,232,232,1,1
672,233,233,1,1
673,233,233,1,1
674,233,233,1,1
675,234,234,1,1
676,234,234,1,1
677,234,234,1,1
678,235,235,1,1
679,235,235,1,1
680,235,235,1,1
681,236,236,1,1
682,236,236,1,1
683,237,237,1,1
684,237,237,1,1
685,238,238,1,1
686,238,238,1,1
687,238,238,1,1
688,239,239,1,1
689,239,239,1,1
690,239,239,1,1
691,240,240,1,1
692,240,240,1,1
693,241,241,1,1
694,241,241,1,1
695,241,241,1,1
696,242,242,1,1
697,242,242,1,1
698,243,243,1,1
699,243,243,1,1
700,243,243,1,1
701,243,243,1,1
702,243,243,1,1
703,243,243,1,1
704,244,244,1,1
705,245,245,1,1
706,245,245,1,1
707,245,245,1,1
708,246,246,1,1
709,246,246,1,1
710,247,247,1,1
711,247,247,1,1
712,247,247,1,1
713,247,247,1,1
714,247,247,1,1
715,247,247,1,1
716,248,248,1,1
717,248,248,1,1
718,249,249,1,1
719,249,249,1,1
720,250,250,1,1
721,250,250,1,1
722,250,250,1,1
723,251,251,1,1
724,251,251,1,1
725,251,251,1,1
726,251,251,1,1
727,251,251,1,1
728,251,251,1,1
729,251,251,1,1
730,251,251,1,1
731,252,252,1,1
732,252,252,1,1
733,252,252,1,1
734,253,253,1,1
735,253,253,1,1
736,253,253,1,1
737,253,253,1,1
738,253,253,1,1
739,253,253,1,1
740,254,254,1,1
741,254,254,1,1
742,254,254,1,1
743,254,254,1,1
744,254,254,1,1
745,255,255,1,1
746,255,255,1,1
747,256,256,1,1
748,256,256,1,1
749,257,257,1,1
750,257,257,1,1
751,257,257,1,1
752,258,258,1,1
753,258,258,1,1
754,258,258,1,1
755,258,258,1,1
756,258,258,1,1
757,258,258,1,1
758,258,258,1,1
759,259,259,1,1
760,259,259,1,1
761,259,259,1,1
762,260,260,1,1
763,260,260,1,1
764,260,260,1,1
765,260,260,1,1
766,260,260,1,1
767,261,261,1,1
768,261,261,1,1
769,261,261,1,1
770,262,262,1,1
771,264,264,1,1
772,265,265,1,1
773,265,265,1,1
774,266,266,1,1
775,266,266,1,1
776,266,266,1,1
777,267,267,1,1
778,267,267,1,1
779,268,268,1,1
780,268,268,1,1
781,268,268,1,1
782,269,269,1,1
783,269,269,1,1
784,270,270,1,1
785,271,271,1,1
786,271,271,1,1
787,271,271,1,1
788,271,271,1,1
789,272,272,1,1
790,273,273,1,1
791,273,273,1,1
792,274,274,1,1
793,274,274,1,1
794,274,274,1,1
795,275,275,1,1
796,275,275,1,1
797,275,275,1,1
798,275,275,1,1
799,276,276,1,1
800,276,276,1,1
801,276,276,1,1
802,276,276,1,1
803,277,277,1,1
804,277,277,1,1
805,277,277,1,1
806,277,277,1,1
807,277,277,1,1
808,278,278,1,1
809,278,278,1,1
810,278,278,1,1
811,279,279,1,1
812,280,280,1,1
813,280,280,1,1
814,281,281,1,1
815,282,282,1,1
816,283,283,1,1
817,283,283,1,1
818,283,283,1,1
819,284,284,1,1
820,284,284,1,1
821,284,284,1,1
822,284,284,1,1
823,285,285,1,1
824,285,285,1,1
825,285,285,1,1
826,286,286,1,1
827,286,286,1,1
828,286,286,1,1
829,286,286,1,1
830,287,287,1,1
831,287,287,1,1
832,287,287,1,1
833,287,287,1,1
834,288,288,1,1
835,288,288,1,1
836,288,288,1,1
837,288,288,1,1
838,289,289,1,1
839,289,289,1,1
840,290,290,1,1
841,290,290,1,1
842,290,290,1,1
843,291,291,1,1
844,291,291,1,1
845,291,291,1,1
846,291,291,1,1
847,291,291,1,1
848,291,291,1,1
849,292,292,1,1
850,292,292,1,1
851,292,292,1,1
852,293,293,1,1
853,294,294,1,1
854,294,294,1,1
855,294,294,1,1
856,294,294,1,1
857,295,295,1,1
858,295,295,1,1
859,296,296,1,1
860,296,296,1,1
861,297,297,1,1
862,297,297,1,1
863,297,297,1,1
864,297,297,1,1
865,297,297,1,1
866,298,298,1,1
867,298,298,1,1
868,301,301,1,1
869,301,301,1,1
870,301,301,1,1
871,302,302,1,1
872,302,302,1,1
873,302,302,1,1
874,302,302,1,1
875,303,303,1,1
876,303,303,1,1
