EventId,SummaryId,SampleId,Loss,ImpactedExposure
1,1,-4,10692.00,1806095488.00
1,1,-1,98724648.00,1806095488.00
1,1,1,97276000.00,1806095488.00
1,1,2,99782840.00,1806095488.00
1,1,3,98155440.00,1806095488.00
1,1,4,94765576.00,1806095488.00
1,1,5,99284832.00,1806095488.00
1,1,6,100352352.00,1806095488.00
1,1,7,103234008.00,1806095488.00
1,1,8,97852752.00,1806095488.00
1,1,9,99465920.00,1806095488.00
1,1,10,96491608.00,1806095488.00
2,1,-4,10816.00,1849625728.00
2,1,-1,447287136.00,1849625728.00
2,1,1,453400896.00,1849625728.00
2,1,2,441688864.00,1849625728.00
2,1,3,449146432.00,1849625728.00
2,1,4,450845280.00,1849625728.00
2,1,5,444349312.00,1849625728.00
2,1,6,445343872.00,1849625728.00
2,1,7,445899744.00,1849625728.00
2,1,8,440872672.00,1849625728.00
2,1,9,449729856.00,1849625728.00
2,1,10,449526400.00,1849625728.00
3,1,-4,10816.00,1849625728.00
3,1,-1,1715448448.00,1849625728.00
3,1,1,1713498752.00,1849625728.00
3,1,2,1717245568.00,1849625728.00
3,1,3,1720077056.00,1849625728.00
3,1,4,1715935104.00,1849625728.00
3,1,5,1715353472.00,1849625728.00
3,1,6,1715142144.00,1849625728.00
3,1,7,1714760960.00,1849625728.00
3,1,8,1718542848.00,1849625728.00
3,1,9,1711896192.00,1849625728.00
3,1,10,1714561536.00,1849625728.00
5,1,-4,10816.00,1849625728.00
5,1,-1,278808832.00,1849625728.00
5,1,1,281764288.00,1849625728.00
5,1,2,281481184.00,1849625728.00
5,1,3,277438304.00,1849625728.00
5,1,4,276976000.00,1849625728.00
5,1,5,276065120.00,1849625728.00
5,1,6,274099680.00,1849625728.00
5,1,7,278922976.00,1849625728.00
5,1,8,279093120.00,1849625728.00
5,1,9,282226432.00,1849625728.00
5,1,10,280060416.00,1849625728.00
7,1,-4,3180.00,495129216.00
7,1,-1,25405712.00,495129216.00
7,1,1,25243770.00,495129216.00
7,1,2,26319248.00,495129216.00
7,1,3,26069360.00,495129216.00
7,1,4,25310106.00,495129216.00
7,1,5,24108870.00,495129216.00
7,1,6,26028168.00,495129216.00
7,1,7,25375552.00,495129216.00
7,1,8,23817452.00,495129216.00
7,1,9,25155828.00,495129216.00
7,1,10,26701184.00,495129216.00
11,1,-4,1810.00,281280384.00
11,1,-1,14292216.00,281280384.00
11,1,1,14783928.00,281280384.00
11,1,2,13343686.00,281280384.00
11,1,3,13990972.00,281280384.00
11,1,4,14404213.00,281280384.00
11,1,5,14975602.00,281280384.00
11,1,6,14515304.00,281280384.00
11,1,7,13627072.00,281280384.00
11,1,8,14523017.00,281280384.00
11,1,9,14665217.00,281280384.00
11,1,10,14151762.00,281280384.00
12,1,-4,10816.00,1849625728.00
12,1,-1,100962168.00,1849625728.00
12,1,1,98955488.00,1849625728.00
12,1,2,100070384.00,1849625728.00
12,1,3,97876152.00,1849625728.00
12,1,4,102075096.00,1849625728.00
12,1,5,101630616.00,1849625728.00
12,1,6,102157728.00,1849625728.00
12,1,7,102014248.00,1849625728.00
12,1,8,104364112.00,1849625728.00
12,1,9,99825168.00,1849625728.00
12,1,10,102602288.00,1849625728.00
16,1,-4,1523.00,245404528.00
16,1,-1,12450576.00,245404528.00
16,1,1,13226235.00,245404528.00
16,1,2,12302677.00,245404528.00
16,1,3,11914849.00,245404528.00
16,1,4,12162745.00,245404528.00
16,1,5,11896834.00,245404528.00
16,1,6,12708357.00,245404528.00
